Semester,Year,Instructor,Dept,Course ID,Course Name,Section,Type,Responses,Enrollment,Resp. Rate %,1: Hrs Per Week 9,2: Interest in student learning,3: Explain course requirements,4: Clear learning goals,5: Instructor provides Feedback to students,6: Importance of subject,7: Explains subject matter,8: Show respect for students,9: Overall teaching,10: Overall course
Fall,2016,JOHN FOLAN,ARC,48719,AECM UDBS,A,Lect,6,7,86%,26,5,4.67,4.83,5,5,5,4.5,4.67,4.67
Spring,2016,RAY GASTIL,ARC,48720,PLNNG DES,A,Lect,7,7,100%,7,4.43,3.86,3.86,4.57,4.29,4.14,4.71,4.29,4.29
Spring,2016,KHEE POH LAM,ARC,48721,BLDG CONTRL DIAGNSTC,A,Lect,12,13,92%,14.83,4.5,4.08,4.25,4.25,4.33,4.67,4.75,4.33,4.42
Fall,2016,OMER KARAGUZEL,ARC,48722,BLDNG PERFMNC MODLNG,A,Lect,14,16,88%,13.5,4.93,4.79,4.71,4.79,4.79,4.77,5,4.79,4.71
Spring,2016,VOLKER HARTKOPF,ARC,48723,PERF ADV BLDNG SYSTM,A,Lect,20,24,83%,7.55,4.1,3.15,3.2,3.58,4,3.55,4.35,3.3,3.1
Spring,2016,VALENTINA VAVASIS,ARC,48725,REAL EST DSGN DVLPMT,A,Lect,18,22,82%,8,4.56,4.33,4.28,4.56,4.39,4.41,4.61,4.28,4.17
Fall,2016,VALENTINA VAVASIS,ARC,48725,REAL EST DSGN DVLPMT,A,Lect,12,13,92%,10,5,5,5,5,5,4.92,4.92,5,5
Fall,2016,DANIEL CARDOSO LLACH,ARC,48727,INQRY CD ARC,A,Lect,9,11,82%,8.38,4.33,4.11,4,3.78,4.56,4.33,4.44,4.44,4
Fall,2016,VIVIAN LOFTNESS,ARC,48729,PROD HLTH QUAL BLDGS,A,Lect,13,15,87%,9.92,4.62,4.31,4.46,4.69,4.62,4.62,4.77,4.54,4
Spring,2016,"LOFTNESS, V. (co-taught)",ARC,48731,SUSTNB DES SYN PREP,A,Lect,9,10,90%,17.67,4.89,4.33,4.56,4.89,5,4.89,5,4.89,4.78
Spring,2016,"COCHRAN, E. (co-taught)",ARC,48731,SUSTNB DES SYN PREP,A,Lect,9,10,90%,17.38,4.67,4.22,4.56,4.56,4.67,4.67,4.67,4.67,4.67
Spring,2016,"CUPKOVA, D. (co-taught)",ARC,48731,SUSTNB DES SYN PREP,A,Lect,9,10,90%,17.38,4,3.67,3.89,4.11,3.78,3.78,4.44,4.11,4.44
Summer,2016,"LOFTNESS, V. (co-taught)",ARC,48732,SUSTAIN DSGN SYNTHES,A,Lect,6,10,60%,27,5,5,4.83,4.83,5,5,5,4.83,4.83
Summer,2016,"COCHRAN, E. (co-taught)",ARC,48732,SUSTAIN DSGN SYNTHES,A,Lect,6,10,60%,27,4.5,4.67,4.83,4.67,4.83,4.67,4.67,4.5,4.5
Summer,2016,"ABDUL-AZIZ, A. (co-taught)",ARC,48732,SUSTAIN DSGN SYNTHES,A,Lect,6,10,60%,27,4.25,4.25,3.75,3.75,4,4,4,3.75,3.75
Spring,2016,JAKOB MARSICO,ARC,48734,RCTV SP MD ARC,A,Lect,3,7,43%,16.33,4.33,3,3.33,4.33,4,3,5,4,4
Fall,2016,JAKOB MARSICO,ARC,48734,RCTV SP MD ARC,A,Lect,8,11,73%,11.38,4.38,3.75,4,4.25,4.13,4.38,4.75,4.25,4.25
